solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0137.hcp,.055,.059,.051,.376,2.260
graph0138.hcp,1.431,1.401,1.678,8.058,12.310
graph0139.hcp,.230,.274,.267,10.990,372.010
graph0140.hcp,3.626,5.101,3.354,18.886,*
graph0141.hcp,3.321,3.929,4.214,9.447,15.040
graph0142.hcp,2.021,1.567,1.375,8.958,*
graph0143.hcp,3.086,3.570,3.178,10.192,20.800
graph0146.hcp,4.748,5.175,4.016,11.867,*
graph0147.hcp,1.374,1.567,1.536,8.635,31.050
graph0148.hcp,.112,.110,.109,.564,1.960
graph0151.hcp,7.506,8.342,5.230,17.140,*
graph0152.hcp,2.339,2.363,2.410,10.927,14.370
graph0153.hcp,.230,.259,.255,70.334,468.220
graph0154.hcp,.267,.294,.259,15.385,450.590
graph0155.hcp,1.973,2.043,1.391,15.693,*
graph0156.hcp,3.689,3.882,2.983,*,*
graph0157.hcp,3.523,4.107,4.044,10.845,12.400
graph0158.hcp,4.207,5.393,3.936,13.465,*
graph0159.hcp,.749,.789,.789,10.993,17.500
graph0160.hcp,.133,.137,.135,.473,1.430
graph0161.hcp,3.215,3.274,2.295,14.819,*
graph0163.hcp,2.812,3.445,3.455,9.990,10.960
graph0164.hcp,6.100,6.644,4.028,18.459,*
graph0165.hcp,3.051,3.174,3.186,13.379,22.600
graph0166.hcp,11.822,14.529,10.858,13.483,*
graph0167.hcp,2.141,3.156,3.194,10.623,15.940
graph0168.hcp,8.486,9.167,6.525,19.466,*
graph0169.hcp,.079,.081,.082,.603,2.350
graph0170.hcp,3.509,3.899,3.945,13.011,27.900
graph0171.hcp,2.649,2.937,2.045,16.921,*
graph0174.hcp,5.596,7.308,7.312,16.855,22.600
graph0175.hcp,.305,.331,.325,52.115,*
graph0176.hcp,5.463,6.337,4.549,13.808,*
graph0177.hcp,4.617,5.672,5.676,11.439,17.070
graph0178.hcp,5.053,5.771,3.791,17.235,*
graph0180.hcp,.314,.340,.332,64.411,*
graph0181.hcp,5.703,7.383,7.367,16.673,110.950
graph0182.hcp,.093,.088,.088,.649,59.170
graph0183.hcp,10.153,11.606,7.819,18.446,*
graph0184.hcp,4.351,5.702,5.712,12.388,13.110
graph0185.hcp,5.911,7.770,4.574,17.251,*
graph0186.hcp,6.277,7.101,7.129,13.900,27.570
graph0187.hcp,3.837,4.375,2.715,22.132,*
graph0189.hcp,2.973,3.958,3.804,17.166,34.200
graph0190.hcp,.112,.111,.112,.782,1.820
graph0191.hcp,2.928,3.885,2.941,18.551,*
graph0193.hcp,7.400,8.087,8.121,17.887,26.080
graph0194.hcp,6.396,7.267,5.235,18.142,*
graph0195.hcp,9.397,12.608,12.463,14.346,29.000
graph0196.hcp,.314,.347,.338,83.968,*
graph0197.hcp,12.132,13.829,9.278,20.685,*
graph0198.hcp,10.102,12.103,11.877,14.408,39.010
graph0201.hcp,4.061,5.153,5.306,19.899,*
graph0202.hcp,9.919,10.623,7.463,19.587,*
graph0203.hcp,.233,.239,.238,1.081,3.270
graph0204.hcp,4.573,6.139,6.181,14.985,29.780
graph0205.hcp,9.502,11.759,8.238,19.952,*
graph0206.hcp,2.768,4.368,4.391,16.115,111.090
graph0207.hcp,9.786,12.154,8.313,23.774,*
graph0208.hcp,5.720,7.839,7.780,18.062,52.340
graph0209.hcp,11.009,16.072,12.436,25.080,*
graph0210.hcp,5.898,6.119,6.198,17.393,36.520
graph0211.hcp,.283,.279,.279,.973,2.360
graph0212.hcp,17.866,21.184,13.488,33.620,*
graph0213.hcp,4.752,6.186,6.221,23.693,35.440
graph0214.hcp,17.595,20.569,14.473,26.340,*
graph0215.hcp,5.080,6.109,6.230,21.240,30.560
graph0216.hcp,.476,.514,.502,92.574,411.390
graph0217.hcp,7.238,8.743,5.241,24.717,*
graph0218.hcp,7.024,7.704,7.738,21.950,54.420
graph0219.hcp,.308,.310,.309,1.058,117.530
graph0220.hcp,.603,.625,.621,108.733,*
graph0221.hcp,13.182,14.805,10.296,28.405,*
graph0222.hcp,5.144,5.769,4.177,*,*
graph0225.hcp,12.552,16.347,16.307,26.588,44.960
graph0228.hcp,13.573,16.312,12.952,26.146,*
graph0229.hcp,5.999,9.579,9.581,30.114,37.270
