solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0673.hcp,4.233,4.348,3.903,223.868,*
graph0674.hcp,2.303,2.307,2.307,7.951,20.500
graph0675.hcp,1.297,1.427,1.390,*,*
graph0676.hcp,10.880,11.294,8.801,212.965,*
graph0680.hcp,1.585,1.723,1.685,*,*
graph0682.hcp,7.576,7.847,6.539,286.744,*
graph0684.hcp,165.935,193.424,124.365,*,*
graph0685.hcp,2.512,2.554,2.526,11.965,20.970
graph0686.hcp,5.934,5.956,4.881,218.047,*
graph0688.hcp,2.370,2.675,2.592,*,*
graph0689.hcp,2.488,2.656,2.534,*,*
graph0690.hcp,6.213,6.229,5.194,196.404,*
graph0691.hcp,9.548,9.675,8.071,258.123,*
graph0695.hcp,21.480,23.668,17.024,*,*
graph0697.hcp,3.235,3.386,3.293,*,*
graph0698.hcp,2.179,2.394,2.291,*,*
graph0700.hcp,1.154,1.169,1.167,8.279,14.870
graph0702.hcp,6.010,6.001,5.127,251.700,*
graph0704.hcp,1.906,1.912,1.874,*,*
graph0707.hcp,14.894,20.058,19.837,269.238,*
graph0708.hcp,1.516,1.639,1.606,*,*
graph0711.hcp,1.222,1.225,1.229,10.099,28.460
graph0713.hcp,21.071,22.325,16.269,*,*
graph0714.hcp,6.406,6.270,6.249,*,*
graph0716.hcp,6.796,7.145,6.297,290.100,*
graph0719.hcp,14.278,15.294,11.380,*,*
graph0720.hcp,14.001,15.687,11.813,*,*
graph0721.hcp,5.214,5.178,4.489,274.529,*
graph0723.hcp,2.058,2.075,2.042,*,*
graph0728.hcp,30.861,38.578,38.823,279.871,*
graph0729.hcp,2.731,2.746,2.732,10.604,35.250
graph0732.hcp,28.686,33.014,25.970,*,*
graph0733.hcp,1.279,1.441,1.402,*,*
graph0735.hcp,1.546,1.701,1.662,*,*
graph0737.hcp,8.245,8.682,6.978,322.746,*
graph0739.hcp,2.846,2.855,2.856,10.941,26.630
graph0743.hcp,25.590,26.464,20.370,*,*
graph0745.hcp,2.815,3.006,2.928,*,*
graph0746.hcp,631.261,619.601,381.351,*,*
graph0747.hcp,34.781,41.858,41.557,223.121,185.770
graph0748.hcp,2.409,2.516,2.343,*,*
graph0749.hcp,1.351,1.358,1.362,9.693,39.350
graph0750.hcp,1.782,1.931,1.783,*,*
graph0751.hcp,15.041,16.811,12.815,*,*
graph0757.hcp,1.472,1.633,1.595,*,*
graph0758.hcp,7.814,6.943,6.444,296.776,*
graph0759.hcp,5.987,5.687,5.167,337.478,*
graph0760.hcp,46.169,55.819,55.626,278.880,*
graph0762.hcp,15.089,16.250,12.028,*,*
graph0777.hcp,18.275,19.492,15.278,*,*
graph0778.hcp,17.468,16.974,13.069,*,*
graph0779.hcp,1.581,1.779,1.713,*,*
graph0782.hcp,42.022,53.304,55.357,301.346,*
graph0784.hcp,70.793,91.485,91.177,334.568,*
graph0786.hcp,2.428,2.585,2.513,*,*
graph0790.hcp,19.083,20.222,15.165,*,*
graph0791.hcp,18.902,19.400,14.986,*,*
graph0792.hcp,50.826,66.117,63.251,343.901,242.050
graph0797.hcp,18.989,19.617,15.284,*,*
graph0802.hcp,1.692,1.823,1.673,*,*
graph0804.hcp,37.241,43.471,44.834,372.520,*
graph0808.hcp,2.371,2.469,2.431,*,*
graph0814.hcp,1.608,1.782,1.728,*,*
graph0816.hcp,29.125,33.892,34.839,361.873,*
graph0817.hcp,2.951,3.095,3.276,*,*
graph0818.hcp,41.941,50.134,50.048,381.924,*
graph0828.hcp,38.726,42.473,41.512,286.683,275.090
graph0830.hcp,11.453,12.418,9.701,*,*
graph0833.hcp,1.761,1.900,1.847,*,*
graph0836.hcp,26.521,27.911,21.606,*,*
graph0844.hcp,10.046,10.735,8.778,*,*
graph0845.hcp,2.370,2.431,2.218,*,*
graph0847.hcp,2.737,3.050,3.030,*,*
graph0849.hcp,55.988,61.644,60.455,433.988,*
graph0852.hcp,38.892,43.544,47.097,298.982,281.720
graph0859.hcp,2.332,2.425,2.493,*,*
graph0863.hcp,21.264,22.269,17.452,*,*
graph0864.hcp,105.901,128.803,129.063,350.054,314.230
graph0865.hcp,50.930,64.669,64.445,441.016,*
graph0875.hcp,4.270,5.213,5.113,*,*
graph0876.hcp,1.744,1.841,1.781,*,*
graph0877.hcp,49.701,60.697,60.416,481.560,*
graph0901.hcp,38.631,39.676,39.983,526.861,*
graph0905.hcp,28.040,31.081,23.954,*,*
graph0923.hcp,95.353,120.921,120.610,444.694,551.240
graph0924.hcp,58.478,73.231,69.893,586.777,*
graph0927.hcp,37.132,38.111,38.191,*,*
graph0945.hcp,119.697,143.039,144.765,462.915,*
graph0947.hcp,128.733,143.144,142.427,467.181,565.420
graph0949.hcp,72.272,78.874,80.653,*,*
graph0950.hcp,196.572,206.482,124.641,*,*
graph0955.hcp,32.923,33.748,27.857,*,*
graph0957.hcp,61.589,75.718,76.943,*,*
graph0963.hcp,206.022,206.191,141.695,*,*
graph0964.hcp,171.926,246.110,232.269,510.659,*
graph0970.hcp,89.056,104.611,105.389,*,*
graph0975.hcp,251.222,295.854,184.625,*,*
graph0979.hcp,101.281,106.534,106.168,*,*
graph0980.hcp,120.642,136.620,136.366,*,*
graph0982.hcp,241.983,258.890,153.293,*,*
graph0984.hcp,40.265,42.765,33.170,*,*
graph0988.hcp,82.228,89.308,89.140,*,*
graph0990.hcp,489.799,546.892,361.082,*,*
graph0991.hcp,175.452,181.839,183.413,*,*
graph0996.hcp,62.005,77.295,58.872,*,*
graph0997.hcp,150.419,169.316,168.648,*,*
graph0999.hcp,73.682,88.555,88.870,*,*
